arch,l1d,l1i,l2,num,dim,simSeconds,simTicks,simInsts,simOps,l1d-cache-0.demandHits::total,l1d-cache-0.demandMisses::total,l1i-cache-0.demandHits::total,l1i-cache-0.demandMisses::total,l2-cache-0.demandHits::total,l2-cache-0.demandMisses::total,core.cpi,core.ipc
x86,0,0,0,1000000,80,3.728308,3728307789000,43927744,64430812,,,,,,,84.873099,0.011782
ARM,32,128,512,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
RISCV,128,128,1024,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
ARM,32,64,128,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1060,1237,1.484154,0.673784
RISCV,128,128,512,1000000,80,0.076585,76584894000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,128,32,512,1000000,5,0.000434,433559000,226849,414226,67185,272,298132,680,609,1004,1.910903,0.523313
RISCV,128,32,512,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
RISCV,128,128,512,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
RISCV,0,0,0,1000000,10,0.040024,40023629000,520012,520861,,,,,,,76.959045,0.012994
x86,32,32,128,1000000,5,0.000434,433831000,226849,414226,67148,309,298132,680,649,1004,1.912102,0.522985
